transaction_id,customer_id,customer_name,region,product,invoice_date,shipment_date,recognition_date,quantity,sales_amount,cost_amount,return_amount,customer_tenure_days,risk_score,risk_level,risk_reasons,cutoff,post_period_return,high_value,negative_sale,margin_outlier,new_customer,date_mismatch,amount,suggested_procedure,sample_id,selection_basis,journal_id,posting_datetime,debit_account,credit_account,currency,source,user_id,user_role,is_reversal,description,period_end,weekend,late_night,round_amount,manual,management_user,rare_account_pair,reversal
INV008973,C0317,Customer 0317,South China,Control module,2025-12-30,2026-01-04,2025-12-30,8,642535.81,449775.07,0,1045,35,High,cutoff; date mismatch,True,False,False,False,False,False,True,642535.81,"Inspect contract, invoice and proof of delivery; test cut-off",S-012,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV010967,C0151,Customer 0151,West China,Industrial sensor,2025-12-30,2026-01-04,2025-12-30,11,495970.75,327340.7,0,718,35,High,cutoff; date mismatch,True,False,False,False,False,False,True,495970.75,"Inspect contract, invoice and proof of delivery; test cut-off",S-013,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV007976,C0170,Customer 0170,North China,Control module,2025-12-30,2026-01-04,2025-12-30,6,472460.51,330722.36,0,2941,35,High,cutoff; date mismatch,True,False,False,False,False,False,True,472460.51,"Inspect contract, invoice and proof of delivery; test cut-off",S-014,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV002991,C0160,Customer 0160,North China,Industrial sensor,2025-12-30,2026-01-04,2025-12-30,11,451985.44,298310.39,0,389,35,High,cutoff; date mismatch,True,False,False,False,False,False,True,451985.44,"Inspect contract, invoice and proof of delivery; test cut-off",S-015,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV001994,C0328,Customer 0328,West China,Industrial sensor,2025-12-30,2026-01-04,2025-12-30,4,160698.72,106061.16,0,1049,35,High,cutoff; date mismatch,True,False,False,False,False,False,True,160698.72,"Inspect contract, invoice and proof of delivery; test cut-off",S-016,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV004985,C0046,Customer 0046,Central China,Servo drive,2025-12-30,2026-01-04,2025-12-30,1,134629.87,96933.51,0,2225,35,High,cutoff; date mismatch,True,False,False,False,False,False,True,134629.87,"Inspect contract, invoice and proof of delivery; test cut-off",S-017,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV006631,C0214,Customer 0214,West China,Production cell,2025-09-27,2025-09-27,2025-09-27,12,8732956.34,6899035.51,6345430.62,1513,33,Medium,post period return; high value,False,True,True,False,False,False,False,8732956.34,Inspect credit note and subsequent return; evaluate occurrence and variable consideration,S-018,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV010192,C0150,Customer 0150,North China,Production cell,2025-02-07,2025-02-06,2025-02-06,12,8548967.74,6753684.52,4494492.45,1879,33,Medium,post period return; high value,False,True,True,False,False,False,False,8548967.74,Inspect credit note and subsequent return; evaluate occurrence and variable consideration,S-019,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV009831,C0188,Customer 0188,Export,Production cell,2025-09-11,2025-09-13,2025-09-13,12,8517151.16,6728549.42,4650972.41,2476,33,Medium,post period return; high value,False,True,True,False,False,False,False,8517151.16,Inspect credit note and subsequent return; evaluate occurrence and variable consideration,S-020,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV004530,C0193,Customer 0193,East China,Production cell,2025-09-21,2025-09-21,2025-09-21,12,8330253.37,6580900.16,5474182.57,1651,33,Medium,post period return; high value,False,True,True,False,False,False,False,8330253.37,Inspect credit note and subsequent return; evaluate occurrence and variable consideration,S-021,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV000147,C0171,Customer 0171,Export,Production cell,2025-05-08,2025-05-07,2025-05-07,12,8312133.53,6566585.49,7206988.86,810,33,Medium,post period return; high value,False,True,True,False,False,False,False,8312133.53,Inspect credit note and subsequent return; evaluate occurrence and variable consideration,S-022,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV003795,C0010,Customer 0010,Central China,Production cell,2025-05-18,2025-05-18,2025-05-18,11,7950787.46,6281122.09,6663179.67,253,33,Medium,post period return; high value,False,True,True,False,False,False,False,7950787.46,Inspect credit note and subsequent return; evaluate occurrence and variable consideration,S-023,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV009172,C0344,Customer 0344,Central China,Production cell,2025-01-25,2025-01-24,2025-01-24,10,6669637.53,5269013.65,4906286.82,10,27,Medium,post period return; new customer,False,True,False,False,False,True,False,6669637.53,Inspect credit note and subsequent return; evaluate occurrence and variable consideration,S-024,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV001820,C0290,Customer 0290,South China,Production cell,2025-03-20,2025-03-20,2025-03-20,6,3870017.5,3057313.83,1555496.39,-77,27,Medium,post period return; new customer,False,True,False,False,False,True,False,3870017.5,Inspect credit note and subsequent return; evaluate occurrence and variable consideration,S-025,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV011944,C0297,Customer 0297,West China,Robot arm,2025-02-17,2025-02-17,2025-02-17,9,1726830.05,1312390.84,1038484.11,42,27,Medium,post period return; new customer,False,True,False,False,False,True,False,1726830.05,Inspect credit note and subsequent return; evaluate occurrence and variable consideration,S-026,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV010677,C0297,Customer 0297,West China,Robot arm,2025-01-27,2025-01-29,2025-01-29,8,1499135.36,1139342.87,652222.62,21,27,Medium,post period return; new customer,False,True,False,False,False,True,False,1499135.36,Inspect credit note and subsequent return; evaluate occurrence and variable consideration,S-027,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV004641,C0264,Customer 0264,Export,Robot arm,2025-03-05,2025-03-05,2025-03-06,2,355756.95,270375.28,285285.29,12,27,Medium,post period return; new customer,False,True,False,False,False,True,False,355756.95,Inspect credit note and subsequent return; evaluate occurrence and variable consideration,S-028,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV006209,C0303,Customer 0303,Export,Production cell,2025-09-01,2025-09-02,2025-09-02,11,7828781.75,1957195.44,0,1434,26,Medium,high value; margin outlier,False,False,True,False,True,False,False,7828781.75,Recalculate margin and inspect pricing approval and contract terms,S-029,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV007584,C0060,Customer 0060,Central China,Production cell,2025-06-04,2025-06-04,2025-06-04,12,8792640.14,6946185.71,0,-75,24,Medium,high value; new customer,False,False,True,False,False,True,False,8792640.14,Confirm balance and validate customer existence and commercial substance,S-030,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV004445,C0121,Customer 0121,Central China,Production cell,2025-07-08,2025-07-08,2025-07-08,12,8786556.66,6941379.76,0,-83,24,Medium,high value; new customer,False,False,True,False,False,True,False,8786556.66,Confirm balance and validate customer existence and commercial substance,S-031,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV003022,C0342,Customer 0342,South China,Production cell,2025-02-25,2025-02-25,2025-02-25,12,8719344.55,6888282.19,0,40,24,Medium,high value; new customer,False,False,True,False,False,True,False,8719344.55,Confirm balance and validate customer existence and commercial substance,S-032,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV003008,C0056,Customer 0056,West China,Production cell,2025-07-23,2025-07-22,2025-07-23,12,8613622.5,6804761.78,0,46,24,Medium,high value; new customer,False,False,True,False,False,True,False,8613622.5,Confirm balance and validate customer existence and commercial substance,S-033,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV009051,C0060,Customer 0060,Central China,Production cell,2025-08-18,2025-08-18,2025-08-19,12,8528796.07,6737748.9,0,0,24,Medium,high value; new customer,False,False,True,False,False,True,False,8528796.07,Confirm balance and validate customer existence and commercial substance,S-034,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV011823,C0160,Customer 0160,North China,Production cell,2025-01-05,2025-01-06,2025-01-07,12,8040694.6,6352148.73,0,30,24,Medium,high value; new customer,False,False,True,False,False,True,False,8040694.6,Confirm balance and validate customer existence and commercial substance,S-035,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV011949,C0071,Customer 0071,East China,Production cell,2025-02-11,2025-02-12,2025-02-12,12,7672658.08,6061399.88,0,-189,24,Medium,high value; new customer,False,False,True,False,False,True,False,7672658.08,Confirm balance and validate customer existence and commercial substance,S-036,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV011026,C0143,Customer 0143,Central China,Production cell,2025-06-20,2025-06-22,2025-06-22,11,7668827.56,6058373.77,0,-88,24,Medium,high value; new customer,False,False,True,False,False,True,False,7668827.56,Confirm balance and validate customer existence and commercial substance,S-037,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV010172,C0155,Customer 0155,Export,Production cell,2025-08-21,2025-08-21,2025-08-21,12,7621753.19,6021185.02,0,64,24,Medium,high value; new customer,False,False,True,False,False,True,False,7621753.19,Confirm balance and validate customer existence and commercial substance,S-038,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV003533,C0290,Customer 0290,South China,Production cell,2025-03-24,2025-03-23,2025-03-23,11,7619164.58,6019140.02,0,-73,24,Medium,high value; new customer,False,False,True,False,False,True,False,7619164.58,Confirm balance and validate customer existence and commercial substance,S-039,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV000251,C0340,Customer 0340,West China,Production cell,2025-04-13,2025-04-13,2025-04-14,12,7617067.24,6017483.12,0,-58,24,Medium,high value; new customer,False,False,True,False,False,True,False,7617067.24,Confirm balance and validate customer existence and commercial substance,S-040,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV003857,C0283,Customer 0283,South China,Production cell,2025-03-10,2025-03-10,2025-03-10,11,7616943.43,6017385.31,0,6,24,Medium,high value; new customer,False,False,True,False,False,True,False,7616943.43,Confirm balance and validate customer existence and commercial substance,S-041,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV001301,C0127,Customer 0127,North China,Robot arm,2025-04-14,2025-04-14,2025-04-14,9,-1648830.52,1253111.19,0,234,23,Medium,negative sale; margin outlier,False,False,False,True,True,False,False,-1648830.52,Recalculate margin and inspect pricing approval and contract terms,S-042,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV007450,C0346,Customer 0346,Central China,Industrial sensor,2025-04-05,2025-04-07,2025-04-07,5,45554.76,30066.14,0,1736,0,Low,,False,False,False,False,False,False,False,45554.76,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-043,Random: population coverage,,,,,,,,,,,,,,,,,,
INV010793,C0059,Customer 0059,West China,Production cell,2025-06-20,2025-06-21,2025-06-21,5,3208648.06,2534831.97,0,370,0,Low,,False,False,False,False,False,False,False,3208648.06,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-044,Random: population coverage,,,,,,,,,,,,,,,,,,
INV011828,C0172,Customer 0172,Export,Production cell,2025-03-29,2025-03-31,2025-03-31,12,8293335.58,6551735.11,0,2444,15,Medium,high value,False,False,True,False,False,False,False,8293335.58,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-045,Random: population coverage,,,,,,,,,,,,,,,,,,
INV008593,C0122,Customer 0122,Export,Robot arm,2025-11-11,2025-11-13,2025-11-13,2,382501.32,290701.01,0,674,0,Low,,False,False,False,False,False,False,False,382501.32,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-046,Random: population coverage,,,,,,,,,,,,,,,,,,
INV009501,C0234,Customer 0234,West China,Inspection camera,2025-02-08,2025-02-08,2025-02-08,12,505029.61,323218.95,0,1592,0,Low,,False,False,False,False,False,False,False,505029.61,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-047,Random: population coverage,,,,,,,,,,,,,,,,,,
INV006811,C0091,Customer 0091,South China,Production cell,2025-01-04,2025-01-04,2025-01-04,1,698955.47,552174.82,0,1516,0,Low,,False,False,False,False,False,False,False,698955.47,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-048,Random: population coverage,,,,,,,,,,,,,,,,,,
INV001331,C0167,Customer 0167,East China,Robot arm,2025-05-17,2025-05-17,2025-05-17,12,2074537.43,1576648.45,0,1073,0,Low,,False,False,False,False,False,False,False,2074537.43,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-049,Random: population coverage,,,,,,,,,,,,,,,,,,
INV001313,C0095,Customer 0095,East China,Production cell,2025-09-19,2025-09-18,2025-09-18,6,3786989.23,2991721.49,0,1362,0,Low,,False,False,False,False,False,False,False,3786989.23,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-050,Random: population coverage,,,,,,,,,,,,,,,,,,
INV002318,C0164,Customer 0164,Central China,Control module,2025-01-11,2025-01-11,2025-01-12,2,30480.48,21336.34,0,685,0,Low,,False,False,False,False,False,False,False,30480.48,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-051,Random: population coverage,,,,,,,,,,,,,,,,,,
INV006124,C0159,Customer 0159,Export,Inspection camera,2025-07-24,2025-07-24,2025-07-24,2,84574.46,54127.65,0,2509,0,Low,,False,False,False,False,False,False,False,84574.46,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-052,Random: population coverage,,,,,,,,,,,,,,,,,,
INV000769,C0172,Customer 0172,Export,Production cell,2025-11-15,2025-11-14,2025-11-14,7,4825178.74,3811891.21,0,2675,0,Low,,False,False,False,False,False,False,False,4825178.74,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-053,Random: population coverage,,,,,,,,,,,,,,,,,,
INV010114,C0189,Customer 0189,South China,Control module,2025-09-21,2025-09-23,2025-09-23,4,66353.07,46447.15,0,3065,0,Low,,False,False,False,False,False,False,False,66353.07,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-054,Random: population coverage,,,,,,,,,,,,,,,,,,
INV007893,C0323,Customer 0323,North China,Inspection camera,2025-02-24,2025-02-24,2025-02-24,4,167250.83,107040.53,0,2065,0,Low,,False,False,False,False,False,False,False,167250.83,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-055,Random: population coverage,,,,,,,,,,,,,,,,,,
INV005233,C0090,Customer 0090,North China,Production cell,2025-07-11,2025-07-10,2025-07-11,11,7647359.01,6041413.62,0,1544,15,Medium,high value,False,False,True,False,False,False,False,7647359.01,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-056,Random: population coverage,,,,,,,,,,,,,,,,,,
INV007014,C0262,Customer 0262,South China,Production cell,2025-10-08,2025-10-09,2025-10-09,11,7803385.0,6164674.15,0,1957,15,Medium,high value,False,False,True,False,False,False,False,7803385.0,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-057,Random: population coverage,,,,,,,,,,,,,,,,,,
INV004981,C0164,Customer 0164,Central China,Production cell,2025-02-22,2025-02-22,2025-02-23,7,4395452.84,3472407.74,0,727,0,Low,,False,False,False,False,False,False,False,4395452.84,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-058,Random: population coverage,,,,,,,,,,,,,,,,,,
INV000036,C0081,Customer 0081,Export,Robot arm,2025-08-11,2025-08-12,2025-08-12,4,729000.28,554040.21,0,2344,0,Low,,False,False,False,False,False,False,False,729000.28,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-059,Random: population coverage,,,,,,,,,,,,,,,,,,
INV008394,C0177,Customer 0177,Export,Robot arm,2025-01-10,2025-01-10,2025-01-10,3,580488.67,441171.39,0,293,0,Low,,False,False,False,False,False,False,False,580488.67,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt",S-060,Random: population coverage,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,67,High,period end; late night; round amount; manual; management user,,,,,,,,2000000,"Inspect support, approval and business rationale; trace to consolidation entries",S-001,Targeted: highest risk,JE000389,2025-12-30T23:02:00,Other Receivables,Other Income,CNY,manual,u005,CFO,False,Synthetic journal entry for audit analytics,True,False,True,True,True,True,False,False
,,,,,,,,,,,,,67,High,period end; late night; round amount; manual; management user,,,,,,,,2000000,"Inspect support, approval and business rationale; trace to consolidation entries",S-002,Targeted: highest risk,JE000778,2025-12-30T23:15:00,Other Receivables,Other Income,CNY,manual,u005,CFO,False,Synthetic journal entry for audit analytics,True,False,True,True,True,True,False,False
,,,,,,,,,,,,,67,High,period end; late night; round amount; manual; management user,,,,,,,,2000000,"Inspect support, approval and business rationale; trace to consolidation entries",S-003,Targeted: highest risk,JE001167,2025-12-30T23:03:00,Other Receivables,Other Income,CNY,manual,u005,CFO,False,Synthetic journal entry for audit analytics,True,False,True,True,True,True,False,False
,,,,,,,,,,,,,67,High,period end; late night; round amount; manual; management user,,,,,,,,2000000,"Inspect support, approval and business rationale; trace to consolidation entries",S-004,Targeted: highest risk,JE001556,2025-12-30T23:07:00,Other Receivables,Other Income,CNY,manual,u005,CFO,False,Synthetic journal entry for audit analytics,True,False,True,True,True,True,False,False
,,,,,,,,,,,,,67,High,period end; late night; round amount; manual; management user,,,,,,,,2000000,"Inspect support, approval and business rationale; trace to consolidation entries",S-005,Targeted: highest risk,JE001945,2025-12-30T23:54:00,Other Receivables,Other Income,CNY,manual,u005,CFO,False,Synthetic journal entry for audit analytics,True,False,True,True,True,True,False,False
,,,,,,,,,,,,,67,High,period end; late night; round amount; manual; management user,,,,,,,,2000000,"Inspect support, approval and business rationale; trace to consolidation entries",S-006,Targeted: highest risk,JE002334,2025-12-30T23:01:00,Other Receivables,Other Income,CNY,manual,u005,CFO,False,Synthetic journal entry for audit analytics,True,False,True,True,True,True,False,False
,,,,,,,,,,,,,67,High,period end; late night; round amount; manual; management user,,,,,,,,2000000,"Inspect support, approval and business rationale; trace to consolidation entries",S-007,Targeted: highest risk,JE002723,2025-12-30T23:26:00,Other Receivables,Other Income,CNY,manual,u005,CFO,False,Synthetic journal entry for audit analytics,True,False,True,True,True,True,False,False
,,,,,,,,,,,,,67,High,period end; late night; round amount; manual; management user,,,,,,,,2000000,"Inspect support, approval and business rationale; trace to consolidation entries",S-008,Targeted: highest risk,JE003112,2025-12-30T23:22:00,Other Receivables,Other Income,CNY,manual,u005,CFO,False,Synthetic journal entry for audit analytics,True,False,True,True,True,True,False,False
,,,,,,,,,,,,,67,High,period end; late night; round amount; manual; management user,,,,,,,,2000000,"Inspect support, approval and business rationale; trace to consolidation entries",S-009,Targeted: highest risk,JE003501,2025-12-30T23:00:00,Other Receivables,Other Income,CNY,manual,u005,CFO,False,Synthetic journal entry for audit analytics,True,False,True,True,True,True,False,False
,,,,,,,,,,,,,67,High,period end; late night; round amount; manual; management user,,,,,,,,2000000,"Inspect support, approval and business rationale; trace to consolidation entries",S-010,Targeted: highest risk,JE003890,2025-12-30T23:41:00,Other Receivables,Other Income,CNY,manual,u005,CFO,False,Synthetic journal entry for audit analytics,True,False,True,True,True,True,False,False
,,,,,,,,,,,,,67,High,period end; late night; round amount; manual; management user,,,,,,,,2000000,"Inspect support, approval and business rationale; trace to consolidation entries",S-011,Targeted: highest risk,JE004279,2025-12-30T23:29:00,Other Receivables,Other Income,CNY,manual,u005,CFO,False,Synthetic journal entry for audit analytics,True,False,True,True,True,True,False,False
,,,,,,,,,,,,,67,High,period end; late night; round amount; manual; management user,,,,,,,,2000000,"Inspect support, approval and business rationale; trace to consolidation entries",S-012,Targeted: highest risk,JE004668,2025-12-30T23:38:00,Other Receivables,Other Income,CNY,manual,u005,CFO,False,Synthetic journal entry for audit analytics,True,False,True,True,True,True,False,False
,,,,,,,,,,,,,55,High,period end; weekend; manual; management user,,,,,,,,22967.93,"Inspect support, approval and business rationale; trace to consolidation entries",S-013,Targeted: highest risk,JE003866,2025-12-28T14:33:00,Sales Returns,Accounts Receivable,CNY,manual,u004,Controller,False,Synthetic journal entry for audit analytics,True,True,False,False,True,True,False,False
,,,,,,,,,,,,,45,High,period end; manual; management user,,,,,,,,1291815.74,"Inspect support, approval and business rationale; trace to consolidation entries",S-014,Targeted: highest risk,JE004021,2025-12-31T09:58:00,Cash,Revenue,CNY,manual,u004,Controller,False,Synthetic journal entry for audit analytics,True,False,False,False,True,True,False,False
,,,,,,,,,,,,,40,High,period end; weekend; manual,,,,,,,,327947.33,"Inspect journal support, preparer/approver and posting rationale",S-015,Targeted: highest risk,JE003578,2025-12-28T14:29:00,Accounts Receivable,Inventory,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics,True,True,False,False,True,False,False,False
,,,,,,,,,,,,,40,High,period end; weekend; manual,,,,,,,,102883.95,"Inspect journal support, preparer/approver and posting rationale",S-016,Targeted: highest risk,JE003005,2025-12-28T12:23:00,Sales Returns,Accounts Receivable,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics,True,True,False,False,True,False,False,False
,,,,,,,,,,,,,40,High,period end; weekend; manual,,,,,,,,29724.95,"Inspect journal support, preparer/approver and posting rationale",S-017,Targeted: highest risk,JE003799,2025-12-28T08:50:00,Sales Returns,Revenue,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics,True,True,False,False,True,False,False,False
,,,,,,,,,,,,,40,High,period end; weekend; manual,,,,,,,,1417.52,"Inspect journal support, preparer/approver and posting rationale",S-018,Targeted: highest risk,JE002796,2025-12-28T08:02:00,Cash,Accounts Receivable,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics,True,True,False,False,True,False,False,False
,,,,,,,,,,,,,40,High,period end; weekend; manual,,,,,,,,1381.72,"Inspect journal support, preparer/approver and posting rationale",S-019,Targeted: highest risk,JE004484,2025-12-28T17:03:00,Cash,Accounts Receivable,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics,True,True,False,False,True,False,False,False
,,,,,,,,,,,,,37,High,weekend; manual; management user,,,,,,,,1470218.95,"Inspect journal support, preparer/approver and posting rationale",S-020,Targeted: highest risk,JE003444,2025-01-25T16:45:00,Accounts Receivable,Revenue,CNY,manual,u004,Controller,False,Synthetic journal entry for audit analytics,False,True,False,False,True,True,False,False
,,,,,,,,,,,,,37,High,weekend; manual; management user,,,,,,,,1269854.0,"Inspect journal support, preparer/approver and posting rationale",S-021,Targeted: highest risk,JE001978,2025-10-05T14:22:00,Cash,Inventory,CNY,manual,u004,Controller,False,Synthetic journal entry for audit analytics,False,True,False,False,True,True,False,False
,,,,,,,,,,,,,37,High,weekend; manual; management user,,,,,,,,1131636.52,"Inspect journal support, preparer/approver and posting rationale",S-022,Targeted: highest risk,JE004374,2025-01-18T17:28:00,Sales Returns,Revenue,CNY,manual,u004,Controller,False,Synthetic journal entry for audit analytics,False,True,False,False,True,True,False,False
,,,,,,,,,,,,,37,High,weekend; manual; management user,,,,,,,,1008509.1,"Inspect journal support, preparer/approver and posting rationale",S-023,Targeted: highest risk,JE002805,2025-02-01T08:13:00,Accounts Receivable,Accounts Receivable,CNY,manual,u004,Controller,False,Synthetic journal entry for audit analytics,False,True,False,False,True,True,False,False
,,,,,,,,,,,,,37,High,weekend; manual; management user,,,,,,,,953686.58,"Inspect journal support, preparer/approver and posting rationale",S-024,Targeted: highest risk,JE001338,2025-02-22T10:42:00,Sales Returns,Inventory,CNY,manual,u004,Controller,False,Synthetic journal entry for audit analytics,False,True,False,False,True,True,False,False
,,,,,,,,,,,,,37,High,weekend; manual; management user,,,,,,,,916598.1,"Inspect journal support, preparer/approver and posting rationale",S-025,Targeted: highest risk,JE002302,2025-05-24T08:03:00,Cash,Accounts Receivable,CNY,manual,u004,Controller,False,Synthetic journal entry for audit analytics,False,True,False,False,True,True,False,False
,,,,,,,,,,,,,37,High,weekend; manual; management user,,,,,,,,813145.4,"Inspect journal support, preparer/approver and posting rationale",S-026,Targeted: highest risk,JE001208,2025-11-09T11:54:00,Cash,Inventory,CNY,manual,u005,CFO,False,Synthetic journal entry for audit analytics,False,True,False,False,True,True,False,False
,,,,,,,,,,,,,37,High,weekend; manual; management user,,,,,,,,774955.3,"Inspect journal support, preparer/approver and posting rationale",S-027,Targeted: highest risk,JE002182,2025-07-12T09:27:00,Accounts Receivable,Revenue,CNY,manual,u005,CFO,False,Synthetic journal entry for audit analytics,False,True,False,False,True,True,False,False
