transaction_id,customer_id,customer_name,region,product,invoice_date,shipment_date,recognition_date,quantity,sales_amount,cost_amount,return_amount,customer_tenure_days,risk_score,risk_level,risk_reasons,cutoff,post_period_return,high_value,negative_sale,margin_outlier,new_customer,date_mismatch,amount,suggested_procedure
INV000011,C0028,Customer 0028,West China,Servo drive,2025-10-05,2025-10-05,2025-10-05,4,110646.97,79665.82,0,313,0,Low,,False,False,False,False,False,False,False,110646.97,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000012,C0008,Customer 0008,East China,Inspection camera,2025-07-31,2025-08-02,2025-08-02,9,353165.33,226025.81,0,2803,0,Low,,False,False,False,False,False,False,False,353165.33,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000013,C0085,Customer 0085,Export,Control module,2025-10-14,2025-10-14,2025-10-14,9,148031.85,103622.3,0,2680,0,Low,,False,False,False,False,False,False,False,148031.85,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000014,C0336,Customer 0336,South China,Inspection camera,2025-03-28,2025-03-27,2025-03-27,2,77534.58,49622.13,0,1704,0,Low,,False,False,False,False,False,False,False,77534.58,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000015,C0291,Customer 0291,Export,Control module,2025-09-22,2025-09-22,2025-09-22,8,133894.43,93726.1,0,1491,0,Low,,False,False,False,False,False,False,False,133894.43,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000016,C0282,Customer 0282,Export,Control module,2025-03-01,2025-02-28,2025-03-01,1,16594.82,11616.37,0,723,0,Low,,False,False,False,False,False,False,False,16594.82,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000017,C0344,Customer 0344,Central China,Servo drive,2025-10-18,2025-10-17,2025-10-17,9,265026.88,190819.35,0,276,0,Low,,False,False,False,False,False,False,False,265026.88,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000018,C0122,Customer 0122,Export,Inspection camera,2025-03-01,2025-03-02,2025-03-02,4,179917.92,115147.47,0,419,0,Low,,False,False,False,False,False,False,False,179917.92,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000019,C0273,Customer 0273,South China,Industrial sensor,2025-01-06,2025-01-06,2025-01-07,6,55069.54,36345.89,0,432,0,Low,,False,False,False,False,False,False,False,55069.54,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000020,C0125,Customer 0125,Central China,Inspection camera,2025-12-07,2025-12-08,2025-12-09,3,128163.23,82024.47,0,1367,0,Low,,False,False,False,False,False,False,False,128163.23,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000021,C0066,Customer 0066,Central China,Robot arm,2025-01-03,2025-01-03,2025-01-03,9,1623400.91,1233784.69,0,845,0,Low,,False,False,False,False,False,False,False,1623400.91,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000022,C0312,Customer 0312,East China,Control module,2025-06-01,2025-05-31,2025-06-01,7,112962.84,79073.99,0,2599,0,Low,,False,False,False,False,False,False,False,112962.84,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000023,C0050,Customer 0050,Export,Servo drive,2025-04-27,2025-04-27,2025-04-27,8,230901.76,166249.27,0,2241,0,Low,,False,False,False,False,False,False,False,230901.76,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000024,C0228,Customer 0228,Export,Servo drive,2025-06-02,2025-06-02,2025-06-03,8,228434.98,164473.19,0,297,0,Low,,False,False,False,False,False,False,False,228434.98,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000025,C0161,Customer 0161,North China,Industrial sensor,2025-03-28,2025-03-28,2025-03-28,10,86659.38,57195.19,0,708,0,Low,,False,False,False,False,False,False,False,86659.38,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000026,C0151,Customer 0151,West China,Inspection camera,2025-12-31,2026-01-02,2026-01-02,4,177881.89,113844.41,0,719,22,Medium,cutoff,True,False,False,False,False,False,False,177881.89,"Inspect contract, invoice and proof of delivery; test cut-off"
INV000027,C0052,Customer 0052,East China,Inspection camera,2025-04-28,2025-04-30,2025-05-01,3,128047.29,81950.27,0,2662,0,Low,,False,False,False,False,False,False,False,128047.29,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000028,C0282,Customer 0282,Export,Robot arm,2025-06-05,2025-06-07,2025-06-07,9,1800093.64,1368071.17,0,819,0,Low,,False,False,False,False,False,False,False,1800093.64,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000029,C0232,Customer 0232,North China,Control module,2025-05-05,2025-05-07,2025-05-07,9,137695.66,96386.96,0,3003,0,Low,,False,False,False,False,False,False,False,137695.66,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000030,C0221,Customer 0221,North China,Robot arm,2025-12-10,2025-12-10,2025-12-11,3,553074.32,420336.48,0,2306,0,Low,,False,False,False,False,False,False,False,553074.32,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000031,C0314,Customer 0314,South China,Production cell,2025-06-07,2025-06-08,2025-06-08,1,712599.23,562953.39,0,262,0,Low,,False,False,False,False,False,False,False,712599.23,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000032,C0212,Customer 0212,Central China,Production cell,2025-04-26,2025-04-27,2025-04-27,11,7937015.47,6270242.22,0,2233,15,Medium,high value,False,False,True,False,False,False,False,7937015.47,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000033,C0315,Customer 0315,South China,Servo drive,2025-09-17,2025-09-18,2025-09-18,6,171632.69,123575.54,122787.59,2476,18,Medium,post period return,False,True,False,False,False,False,False,171632.69,Inspect credit note and subsequent return; evaluate occurrence and variable consideration
INV000034,C0199,Customer 0199,West China,Servo drive,2025-11-15,2025-11-15,2025-11-15,4,111042.16,79950.35,0,2165,0,Low,,False,False,False,False,False,False,False,111042.16,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000035,C0015,Customer 0015,West China,Control module,2025-02-24,2025-02-25,2025-02-26,4,59911.79,41938.25,0,693,0,Low,,False,False,False,False,False,False,False,59911.79,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000036,C0081,Customer 0081,Export,Robot arm,2025-08-11,2025-08-12,2025-08-12,4,729000.28,554040.21,0,2344,0,Low,,False,False,False,False,False,False,False,729000.28,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000037,C0060,Customer 0060,Central China,Inspection camera,2025-04-22,2025-04-22,2025-04-22,2,83426.98,53393.27,0,-118,0,Low,,False,False,False,False,False,False,False,83426.98,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000038,C0165,Customer 0165,South China,Industrial sensor,2025-06-09,2025-06-09,2025-06-09,2,18274.69,12061.29,0,1803,0,Low,,False,False,False,False,False,False,False,18274.69,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000039,C0212,Customer 0212,Central China,Production cell,2025-02-20,2025-02-20,2025-02-21,2,1431096.93,1130566.57,0,2168,0,Low,,False,False,False,False,False,False,False,1431096.93,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000040,C0093,Customer 0093,Central China,Industrial sensor,2025-03-05,2025-03-05,2025-03-06,6,49426.16,32621.27,0,1807,0,Low,,False,False,False,False,False,False,False,49426.16,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000041,C0051,Customer 0051,Central China,Inspection camera,2025-10-09,2025-10-11,2025-10-12,3,117757.88,75365.04,0,2604,0,Low,,False,False,False,False,False,False,False,117757.88,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000042,C0033,Customer 0033,West China,Inspection camera,2025-08-15,2025-08-15,2025-08-15,1,41656.07,26659.89,0,2120,0,Low,,False,False,False,False,False,False,False,41656.07,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000043,C0209,Customer 0209,West China,Inspection camera,2025-04-03,2025-04-05,2025-04-05,11,430117.38,275275.12,0,941,0,Low,,False,False,False,False,False,False,False,430117.38,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000044,C0180,Customer 0180,West China,Industrial sensor,2025-03-28,2025-03-28,2025-03-28,3,26223.15,17307.28,0,1642,0,Low,,False,False,False,False,False,False,False,26223.15,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000045,C0223,Customer 0223,West China,Production cell,2025-02-22,2025-02-21,2025-02-22,4,2661202.24,2102349.77,0,1772,0,Low,,False,False,False,False,False,False,False,2661202.24,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000046,C0043,Customer 0043,Export,Robot arm,2025-10-23,2025-10-24,2025-10-24,5,903091.25,686349.35,0,933,0,Low,,False,False,False,False,False,False,False,903091.25,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000047,C0310,Customer 0310,West China,Control module,2025-09-26,2025-09-25,2025-09-25,9,140358.46,98250.92,0,901,0,Low,,False,False,False,False,False,False,False,140358.46,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000048,C0149,Customer 0149,Central China,Production cell,2025-07-31,2025-08-02,2025-08-03,5,3241114.79,2560480.68,0,917,0,Low,,False,False,False,False,False,False,False,3241114.79,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000049,C0265,Customer 0265,West China,Servo drive,2025-06-08,2025-06-09,2025-06-09,5,128927.09,92827.51,66894.18,287,18,Medium,post period return,False,True,False,False,False,False,False,128927.09,Inspect credit note and subsequent return; evaluate occurrence and variable consideration
INV000050,C0305,Customer 0305,Export,Production cell,2025-06-22,2025-06-24,2025-06-24,6,4228841.62,3340784.88,0,2174,0,Low,,False,False,False,False,False,False,False,4228841.62,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000051,C0208,Customer 0208,North China,Inspection camera,2025-11-28,2025-11-28,2025-11-28,10,417430.8,267155.71,0,2564,0,Low,,False,False,False,False,False,False,False,417430.8,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000052,C0221,Customer 0221,North China,Inspection camera,2025-12-15,2025-12-15,2025-12-15,10,408202.25,261249.44,250527.19,2311,18,Medium,post period return,False,True,False,False,False,False,False,408202.25,Inspect credit note and subsequent return; evaluate occurrence and variable consideration
INV000053,C0180,Customer 0180,West China,Inspection camera,2025-05-09,2025-05-09,2025-05-09,1,41060.33,26278.61,0,1684,0,Low,,False,False,False,False,False,False,False,41060.33,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000054,C0151,Customer 0151,West China,Robot arm,2025-10-04,2025-10-04,2025-10-05,1,174576.81,132678.38,0,631,0,Low,,False,False,False,False,False,False,False,174576.81,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000055,C0154,Customer 0154,Export,Servo drive,2025-12-30,2025-12-29,2025-12-29,1,26207.45,18869.37,0,1890,22,Medium,cutoff,True,False,False,False,False,False,False,26207.45,"Inspect contract, invoice and proof of delivery; test cut-off"
INV000056,C0026,Customer 0026,West China,Servo drive,2025-12-29,2025-12-28,2025-12-28,10,276746.93,199257.79,0,3181,22,Medium,cutoff,True,False,False,False,False,False,False,276746.93,"Inspect contract, invoice and proof of delivery; test cut-off"
INV000057,C0056,Customer 0056,West China,Control module,2025-08-03,2025-08-02,2025-08-02,2,32584.65,22809.25,0,57,0,Low,,False,False,False,False,False,False,False,32584.65,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000058,C0037,Customer 0037,North China,Production cell,2025-10-29,2025-10-29,2025-10-30,12,8013963.04,6331030.8,0,2018,15,Medium,high value,False,False,True,False,False,False,False,8013963.04,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000059,C0288,Customer 0288,Central China,Servo drive,2025-01-13,2025-01-14,2025-01-15,7,205505.58,147964.02,0,2410,0,Low,,False,False,False,False,False,False,False,205505.58,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000060,C0027,Customer 0027,South China,Servo drive,2025-08-01,2025-08-02,2025-08-02,3,79430.78,57190.16,0,-2,0,Low,,False,False,False,False,False,False,False,79430.78,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000061,C0025,Customer 0025,West China,Inspection camera,2025-02-05,2025-02-05,2025-02-06,10,414125.83,265040.53,0,995,0,Low,,False,False,False,False,False,False,False,414125.83,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000062,C0076,Customer 0076,South China,Servo drive,2025-01-01,2025-01-01,2025-01-01,2,57607.08,41477.09,0,2223,0,Low,,False,False,False,False,False,False,False,57607.08,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000063,C0237,Customer 0237,South China,Robot arm,2025-09-26,2025-09-26,2025-09-26,3,531712.09,404101.19,0,89,9,Low,new customer,False,False,False,False,False,True,False,531712.09,Confirm balance and validate customer existence and commercial substance
INV000064,C0053,Customer 0053,West China,Inspection camera,2025-04-09,2025-04-09,2025-04-09,7,274104.88,175427.12,0,642,0,Low,,False,False,False,False,False,False,False,274104.88,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000065,C0006,Customer 0006,West China,Robot arm,2025-07-07,2025-07-08,2025-07-08,11,1912670.67,1453629.71,0,33,9,Low,new customer,False,False,False,False,False,True,False,1912670.67,Confirm balance and validate customer existence and commercial substance
INV000066,C0132,Customer 0132,Central China,Servo drive,2025-02-17,2025-02-18,2025-02-18,9,249965.56,179975.21,0,1753,0,Low,,False,False,False,False,False,False,False,249965.56,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000067,C0238,Customer 0238,North China,Servo drive,2025-10-13,2025-10-13,2025-10-13,3,78154.62,56271.33,0,501,0,Low,,False,False,False,False,False,False,False,78154.62,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000068,C0200,Customer 0200,East China,Robot arm,2025-05-09,2025-05-09,2025-05-09,11,2036472.51,1547719.11,0,398,0,Low,,False,False,False,False,False,False,False,2036472.51,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000069,C0185,Customer 0185,South China,Industrial sensor,2025-08-31,2025-09-01,2025-09-01,11,96041.59,63387.45,0,1573,0,Low,,False,False,False,False,False,False,False,96041.59,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000070,C0274,Customer 0274,South China,Robot arm,2025-01-26,2025-01-26,2025-01-26,6,1178050.17,895318.13,0,1048,0,Low,,False,False,False,False,False,False,False,1178050.17,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000071,C0018,Customer 0018,East China,Control module,2025-06-06,2025-06-08,2025-06-08,5,78422.14,54895.5,0,1813,0,Low,,False,False,False,False,False,False,False,78422.14,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000072,C0064,Customer 0064,Central China,Production cell,2025-05-13,2025-05-13,2025-05-13,7,4433914.54,3502792.49,0,2709,0,Low,,False,False,False,False,False,False,False,4433914.54,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000073,C0025,Customer 0025,West China,Servo drive,2025-02-04,2025-02-04,2025-02-04,7,179874.36,129509.54,0,994,0,Low,,False,False,False,False,False,False,False,179874.36,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000074,C0006,Customer 0006,West China,Servo drive,2025-01-16,2025-01-16,2025-01-16,4,101688.01,73215.37,0,-139,0,Low,,False,False,False,False,False,False,False,101688.01,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000075,C0267,Customer 0267,West China,Production cell,2025-07-30,2025-07-31,2025-07-31,6,4106511.44,3244144.04,0,1045,0,Low,,False,False,False,False,False,False,False,4106511.44,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000076,C0347,Customer 0347,South China,Production cell,2025-10-22,2025-10-22,2025-10-23,8,5819922.54,4597738.81,0,1214,0,Low,,False,False,False,False,False,False,False,5819922.54,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000077,C0334,Customer 0334,West China,Servo drive,2025-06-25,2025-06-25,2025-06-25,4,110732.69,79727.54,0,1226,0,Low,,False,False,False,False,False,False,False,110732.69,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000078,C0276,Customer 0276,West China,Production cell,2025-02-11,2025-02-10,2025-02-11,11,7943083.74,6275036.15,0,2445,15,Medium,high value,False,False,True,False,False,False,False,7943083.74,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000079,C0350,Customer 0350,West China,Production cell,2025-01-27,2025-01-27,2025-01-28,10,6298994.42,4976205.59,0,998,0,Low,,False,False,False,False,False,False,False,6298994.42,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000080,C0331,Customer 0331,East China,Industrial sensor,2025-07-02,2025-07-02,2025-07-02,5,40370.72,26644.68,0,2933,0,Low,,False,False,False,False,False,False,False,40370.72,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000081,C0143,Customer 0143,Central China,Inspection camera,2025-04-20,2025-04-19,2025-04-20,11,425702.0,272449.28,0,-149,9,Low,new customer,False,False,False,False,False,True,False,425702.0,Confirm balance and validate customer existence and commercial substance
INV000082,C0202,Customer 0202,West China,Control module,2025-11-26,2025-11-26,2025-11-26,4,65234.26,45663.98,0,976,0,Low,,False,False,False,False,False,False,False,65234.26,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000083,C0221,Customer 0221,North China,Inspection camera,2025-05-27,2025-05-27,2025-05-27,7,296643.59,189851.9,0,2109,0,Low,,False,False,False,False,False,False,False,296643.59,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000084,C0189,Customer 0189,South China,Robot arm,2025-04-21,2025-04-22,2025-04-23,9,1737867.95,1320779.64,0,2912,0,Low,,False,False,False,False,False,False,False,1737867.95,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000085,C0163,Customer 0163,Export,Production cell,2025-05-03,2025-05-03,2025-05-03,12,8620995.25,6810586.25,0,1163,15,Medium,high value,False,False,True,False,False,False,False,8620995.25,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000086,C0138,Customer 0138,North China,Industrial sensor,2025-04-06,2025-04-08,2025-04-08,8,65231.32,43052.67,0,877,0,Low,,False,False,False,False,False,False,False,65231.32,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000087,C0319,Customer 0319,East China,Inspection camera,2025-07-28,2025-07-28,2025-07-28,8,311427.17,199313.39,0,1499,0,Low,,False,False,False,False,False,False,False,311427.17,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000088,C0323,Customer 0323,North China,Servo drive,2025-01-24,2025-01-23,2025-01-24,8,214232.09,154247.1,0,2034,0,Low,,False,False,False,False,False,False,False,214232.09,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000089,C0262,Customer 0262,South China,Production cell,2025-08-09,2025-08-08,2025-08-08,6,4027073.05,3181387.71,0,1897,0,Low,,False,False,False,False,False,False,False,4027073.05,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000090,C0029,Customer 0029,West China,Control module,2025-09-25,2025-09-26,2025-09-26,4,67734.25,47413.97,0,251,0,Low,,False,False,False,False,False,False,False,67734.25,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000091,C0136,Customer 0136,West China,Production cell,2025-11-11,2025-11-11,2025-11-11,5,3135357.56,2476932.47,0,2572,0,Low,,False,False,False,False,False,False,False,3135357.56,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000092,C0141,Customer 0141,North China,Servo drive,2025-09-04,2025-09-06,2025-09-06,8,237033.78,170664.32,0,2651,0,Low,,False,False,False,False,False,False,False,237033.78,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000093,C0066,Customer 0066,Central China,Servo drive,2025-05-17,2025-05-17,2025-05-17,7,177343.35,127687.21,0,979,0,Low,,False,False,False,False,False,False,False,177343.35,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000094,C0207,Customer 0207,Export,Production cell,2025-10-14,2025-10-13,2025-10-13,1,705963.6,557711.24,0,123,0,Low,,False,False,False,False,False,False,False,705963.6,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000095,C0009,Customer 0009,Central China,Production cell,2025-01-22,2025-01-21,2025-01-21,6,4167944.58,3292676.22,0,2542,0,Low,,False,False,False,False,False,False,False,4167944.58,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000096,C0010,Customer 0010,Central China,Industrial sensor,2025-10-31,2025-10-31,2025-10-31,8,71748.23,47353.83,0,419,0,Low,,False,False,False,False,False,False,False,71748.23,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000097,C0113,Customer 0113,East China,Servo drive,2025-01-20,2025-01-19,2025-01-19,8,203557.36,146561.3,0,533,0,Low,,False,False,False,False,False,False,False,203557.36,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000098,C0258,Customer 0258,East China,Inspection camera,2025-09-02,2025-09-01,2025-09-02,12,506344.02,324060.17,0,2621,0,Low,,False,False,False,False,False,False,False,506344.02,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000099,C0205,Customer 0205,East China,Industrial sensor,2025-02-09,2025-02-09,2025-02-09,5,42316.87,27929.13,0,2679,0,Low,,False,False,False,False,False,False,False,42316.87,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000100,C0096,Customer 0096,North China,Control module,2025-01-15,2025-01-14,2025-01-14,9,136290.88,95403.62,0,787,0,Low,,False,False,False,False,False,False,False,136290.88,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000101,C0003,Customer 0003,West China,Control module,2025-11-19,2025-11-19,2025-11-19,1,16937.07,11855.95,0,2330,0,Low,,False,False,False,False,False,False,False,16937.07,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000102,C0227,Customer 0227,Export,Inspection camera,2025-02-14,2025-02-14,2025-02-14,8,314419.74,201228.63,0,2577,0,Low,,False,False,False,False,False,False,False,314419.74,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000103,C0126,Customer 0126,North China,Industrial sensor,2025-01-23,2025-01-22,2025-01-22,3,25464.29,16806.43,0,133,0,Low,,False,False,False,False,False,False,False,25464.29,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000104,C0309,Customer 0309,Export,Inspection camera,2025-08-19,2025-08-19,2025-08-19,1,44456.21,28451.97,0,1888,0,Low,,False,False,False,False,False,False,False,44456.21,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000105,C0317,Customer 0317,South China,Control module,2025-03-28,2025-03-27,2025-03-27,10,166802.52,116761.77,0,768,0,Low,,False,False,False,False,False,False,False,166802.52,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000106,C0032,Customer 0032,Central China,Inspection camera,2025-03-07,2025-03-08,2025-03-09,11,488675.7,312752.45,0,226,0,Low,,False,False,False,False,False,False,False,488675.7,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000107,C0286,Customer 0286,South China,Control module,2025-03-03,2025-03-04,2025-03-04,10,167103.44,116972.41,0,1757,0,Low,,False,False,False,False,False,False,False,167103.44,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000108,C0251,Customer 0251,South China,Production cell,2025-01-12,2025-01-12,2025-01-12,7,4737762.92,3742832.71,0,2751,0,Low,,False,False,False,False,False,False,False,4737762.92,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000109,C0161,Customer 0161,North China,Inspection camera,2025-01-29,2025-01-29,2025-01-29,7,316018.52,202251.85,0,650,0,Low,,False,False,False,False,False,False,False,316018.52,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000110,C0256,Customer 0256,North China,Robot arm,2025-08-01,2025-08-01,2025-08-02,3,601517.5,457153.3,0,1134,0,Low,,False,False,False,False,False,False,False,601517.5,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000111,C0281,Customer 0281,South China,Control module,2025-02-16,2025-02-18,2025-02-18,5,74179.86,51925.9,0,2194,0,Low,,False,False,False,False,False,False,False,74179.86,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000112,C0115,Customer 0115,East China,Inspection camera,2025-07-28,2025-07-28,2025-07-28,3,126341.18,80858.35,0,2081,0,Low,,False,False,False,False,False,False,False,126341.18,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000113,C0314,Customer 0314,South China,Industrial sensor,2025-03-31,2025-04-02,2025-04-02,9,80257.49,52969.94,0,194,0,Low,,False,False,False,False,False,False,False,80257.49,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000114,C0159,Customer 0159,Export,Production cell,2025-03-21,2025-03-21,2025-03-21,3,1885616.36,1489636.92,0,2384,0,Low,,False,False,False,False,False,False,False,1885616.36,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
